"","Project","Text","SDG","Target"
"4228","P086592","reports include issues identified project implementation actions resolve issues affect progress","No map","No map.NA"
"4229","P086592","risk assessment rating entire project procurement risk assessment management system prams","SDG 16","SDG 16.10"
"4230","P086592","risk obstruct delay procurement continue evaluation process evaluation committee agree bids proposals consultant assessments","No map","No map.NA"
"4231","P086592","rse branch offices assist rcc formation lack funds expertise","No map","No map.NA"
"4232","P086592","rsus expected initially spas irrigation systems raion","SDG 16","SDG 16.10"
"4233","P086592","rsus provided vehicle training office field equipment running costs office field","No map","No map.NA"
"4234","P086592","procedures expected applied project designated account budget categories","No map","No map.NA"
"4235","P086592","sample ncb bidding documents prepared taking account ncb conditions set loan agreement","No map","No map.NA"
"4236","P086592","schedule shown subject change basis final procurement plan detail design stage outcomes","No map","No map.NA"
"4237","P086592","option selected realistic means achieving asset sustainability farmer commitment aligned pidm concept endusers gradually responsible future recurrent costs inter onfarm id infrastructures","SDG 12","SDG 12.8"
"4238","P086592","stage required additional dam improvement interventions including major dam repairs upgrading identified site specific dam safety plans supported idip undertaken proposed follow project","SDG 9","SDG 9.b"
"4239","P086592","sitespecific dam safety plans identify interventions required ensure dams function planned threat downstream","No map","No map.NA"
"4240","P086592","socialinstitutional expert act rsu coordinator","No map","No map.NA"
"4241","P086592","spa farmers exposure intensive farm training agricultural practices sustainable land water management direct involvement introduce adapted international technologies expected gradually raise productivity decrease land degradation","SDG 2","SDG 2.4"
"4242","P086592","spas include farm holdings ha farm holdings ha table","No map","No map.NA"
"4243","P086592","specialist identify training train project staff staff","No map","No map.NA"
"4244","P086592","staff rcc sus central oblast raion level comprise national consultants recruited consultancy firm awarded contract","No map","No map.NA"
"4245","P086592","staff salaries financed isfs charged water users rcc command current legislation related rcc formation development reviewed proposals strengthening","SDG 16","SDG 16.1"
"4246","P086592","subcomponent proposes adopt modern processes assign hydrogeological amelioration expeditions haes moa","No map","No map.NA"
"4247","P086592","survey administered collated rcc su staff internalmonitoring rccs","No map","No map.NA"
"4248","P086592","swspca operates competitive grant system award research contracts institutions apply system onfarm participatory research activities performed demonstration sites","SDG 9","SDG 9.5"
"4249","P086592","system includes mechanisms verify performance effectiveness including beneficiary assessments flexible adjustments","SDG 16","SDG 16.10"
"4250","P086592","ta assess requirements raa regulatory office establishment rccs monitoring regulation rccs performance monitoring","No map","No map.NA"
"4251","P086592","table estimated input requirements key personnel carry implementation support project","No map","No map.NA"
"4252","P086592","table typical yields","No map","No map.NA"
"4253","P086592","target provide irrigation agronomic advisory services expresses total thematic units mandate rsus components units distinct fsc units physical units","No map","No map.NA"
"4254","P086592","team closely akimat agriculture departments","SDG 2","SDG 2.b"
"4255","P086592","tools developed assessment measure complex parameters attitudes motivation staff service delivery regular reporting farmer service centers","SDG 17","SDG 17.19"
"4256","P086592","total annual average pumping hours estimate shymkent design institute average annual pumping cost hectare","SDG 16","SDG 16.6"
"4257","P086592","total estimated cost investment project million","SDG 17","SDG 17.5"
"4258","P086592","transfer process participatory conducting public meetings overseen oblast courts","No map","No map.NA"
"4259","P086592","proposed projects similar components main rehabilitation modernization id infrastructure","No map","No map.NA"
"4260","P086592","water management specialists moas raion haes samples soil water selected project sites record results report periodically pmu","SDG 15","SDG 15.3"
"4261","P086592","water service provider develop adopt updated procedures included manual based existing om manuals distributed staff","SDG 6","SDG 6.b"
"4262","P086592","wbsupported acp pmu cwr established fm arrangements assessed effectively supported kais development","SDG 8","SDG 8.a"
"4263","P086592","wmo liaises wmos manage secondary canal","No map","No map.NA"
"4264","P086592","contracts million equivalent follow icb procedures","No map","No map.NA"
"4265","P086592","contracts million equivalent procured national competitive bidding ncb procedures","No map","No map.NA"
"4266","P086592","themes theme maximum total equal major theme theme environment natural resources water resource management management rural development rural services infrastructure rural development rural policies institutions public sector governance decentralization total project development objectives proposed development objectives project development objective improve irrigation drainage service delivery support farmers project","SDG 6","SDG 6.2"
"4267","P086592","facilitator establishes networks linkages individuals organizations support finance marketing raionlevel workshopsseminars organized annually","SDG 10","SDG 10.5"
"4268","P086592","main issues addressed irrigation systems efficient reduce water losses improve service delivery main system comprises interfarm canals managed rse branch offices oblast level operational sections raion level cses akimat","SDG 6","SDG 6.4"
"4269","P086592","significant legislation related water resources rccs notably promulgation water code law dealing establishment rccs passed","SDG 16","SDG 16.1"
"4270","P086592","liabilities shared individuals allocated shares assets liabilities typically person including infants eligible unit shares","No map","No map.NA"
"4271","P086592","shopping contracts","No map","No map.NA"
"4272","P086592","main activities preparation leasing packages arrangements farm machinery irrigation maintenance equipment supplied demonstration evaluation provision technical support spalevel farmers select machinery advise financing maintaining id infrastructures collect baseline data machinery park spas define future capital investment requirements","SDG 17","SDG 17.5"
"4273","P086592","risks system failure project include support main id infrastructure rehabilitation","SDG 16","SDG 16.10"
"4274","P086592","plan updated calendar update subject world banks prior review","No map","No map.NA"
"4275","P086592","idip study pilot machinery equipment usage options project spas create conditions farmers informed choices machinery equipment finance arrangements implemented project","SDG 16","SDG 16.10"
"4276","P086592","critical budget formulation cwr ensures budgets submitted government accurate","No map","No map.NA"
"4277","P086592","estimated total households land spas idip target principal direct beneficiaries","SDG 15","SDG 15.3"
"4278","P086592","pending assessment undertaken project commencement assumed highpriority physical improvement dam met idip","No map","No map.NA"
"4279","P086592","cwr moep implementing agency project","No map","No map.NA"
"4280","P086592","project exempt notification requirement safeguard policy","SDG 17","SDG 17.13"
"4281","P086592","project provide key repairs id systems including main canals cross regulators outlet structures secondary canals main drainage network","SDG 16","SDG 16.10"
"4282","P086592","project support main system service providers improve level service increase fee recovery sustainable levels","SDG 1","SDG 1.3"
"4283","P086592","project undertake activities ensure efficient water management sustainable mom onfarm id systems capacity building rccs component implementation comprehensive agricultural development program component","SDG 6","SDG 6.4"
"4284","P086592","actions include updating financial accounting procedures pom installing automated accounting system support project accounting reporting requirements proposed project capacity generate ifrs hiring fm consultant effectiveness conditions","No map","No map.NA"
"4285","P086592","activities continue life project","No map","No map.NA"
"4286","P086592","adverse impacts significant effectively prevented minimized eliminated preventive actions mitigation measures effective construction supervision","SDG 11","SDG 11.6"
"4287","P086592","analyses cover representative sample spas","No map","No map.NA"
"4288","P086592","applicable client implementation organizations implementation banks implementation support team review facilitation supervision due diligence cover range technical engineering institutional agricultural development aspects managerial fiduciary socioenvironmental safeguard aspects","SDG 2","SDG 2.a"
"4289","P086592","project items covered ibrdgovernment joint financing estimates including implementation environmental management plan emp measures programs ii implementation formulated dam safety improvement instrumentation studies iii paying local pmu rcc su staff salaries iv provision equipment facilities support project development technical assistance activities","SDG 17","SDG 17.19"
"4290","P086592","onfarm tertiary interfarm secondary canals rcc command represent id values spas","SDG 4","SDG 4.3"
"4291","P086592","summarized detailed descriptions provided annex detailed project description","No map","No map.NA"
"4292","P086592","favorable agroclimatic conditions increasing irrigated crop productivity warmer weather plains comparative advantage cropping activities production highervalue crops export potential cotton fruits vegetables","SDG 17","SDG 17.11"
"4293","P086592","arrangements similar cwr projects","No map","No map.NA"
"4294","P086592","assets wmos formed groupings individuals","No map","No map.NA"
"4295","P086592","consequences occurred soviet union countries","No map","No map.NA"
"4296","P086592","data report financial disbursement physical progress","No map","No map.NA"
"4297","P086592","fscs physically housed cwrs raionlevel offices practically serve spas level","No map","No map.NA"
"4298","P086592","include technical assistance training workshops approach requirements implementing framework emp carried organizationsagenciesii laboratory field equipment support organizationsagencies entrusted implementing framework emp iii public outreachawareness campaigns iv environmental monitoring analysis including sampling testing laboratory reporting id systems undertaken established local organizationsagencies enforcing environmental clauses construction contracts civil id system address constructionrelated impacts vi smallscale ecologicalbiodiversity investments","No map","No map.NA"
"4299","P086592","levels acceptable farmers projected benefit levels realized exceeded","No map","No map.NA"
"4300","P086592","organizations apcs acs rccs locations secondary canal sovkhoz kolkhoz registered landowners share secondary canal","No map","No map.NA"
"4301","P086592","parameters measured project impact surveys impacts evident immediately","No map","No map.NA"
"4302","P086592","principal trainers identify train facilitators day intensive","No map","No map.NA"
"4303","P086592","extended drainage systems function poorly due blockages reeds weeds grasses exacerbated silting drains","SDG 16","SDG 16.10"
"4304","P086592","reports prepared excel spreadsheet accounting system capacity generate ifrs","SDG 16","SDG 16.10"
"4305","P086592","results project development objective indicators cumulative target values responsibility data source unit endmehdlgdaaclcto indicator core measuoe baseline yr yr yr yr yr yr frequency methodology data collection measure target water users provided field visits pmu supported newimproved annual baseline impact irrigation assessment surveys consultants drainage services water users provided field visits pmu supported irrigation subtype annual baseline impact drainage services breakdown assessment surveys consultants female provided hectare annual field visits pmu supported irripation ha haeine nnd immet hv mf drainage services subtype assessment surveys consultants improved ha breakdown intermediate results indicators cumulative target values responsibility data source unit methodology data collection indicator core measure baseline yr yr yr yr yr yr target frequency subprojects detailed designs baseline pmu supported easemps ad coemp ent annual impact assessment prepared component suvycoulat supported suppored bysurveys consultants components baseline impact assessmentpm supre incremental irrigation cubic ipcasemntpmu supported water added meter annual surveys watmpner dddt mee million million million million million million volumetric consultants component mcoslat metering desk based method operational water user field visits pmu supported associations created annual baseline andor strengthened impact assessment consultants surveys field visits pmu supported clientl days trainmng baseline clie das omran annual bai provided impact assessmentcoslat consultants surveys client days training annual field visits pmu supported nrnvided femnle sih hnseine nnd hv world bank opcs guidance clients includes scientists extension agents agrodealers farmers community business owners defined project type impact assessment consultants break surveys subprojects water information communication field visits technology","SDG 17","SDG 17.19"
"4306","P086592","rsus housed cwrs raionlevel offices provide services central oblast raion levels","No map","No map.NA"
"4307","P086592","shares pooled wmos acquire share secondary canal","No map","No map.NA"
"4308","P086592","carried project onwards sample water users gauge awareness rcc matters satisfaction rcc services","SDG 13","SDG 13.3"
"4309","P086592","conduct random evaluations project sites evaluate effectiveness measures impacts project activities environment","SDG 17","SDG 17.19"
"4310","P086592","activity include providing technical assistance support establishment rcc regulatory authority rra practices pidm","No map","No map.NA"
"4311","P086592","activity include training component pass knowledge gained rcc sus","No map","No map.NA"
"4312","P086592","protects disadvantaged prevents water users exploitation management transfer","SDG 6","SDG 6.b"
"4313","P086592","arises risk ratings risk categories summarized table detailed annex operational risk assessment framework oraf","No map","No map.NA"
"4314","P086592","average cost hectare compares completed costs idip ha","No map","No map.NA"
"4315","P086592","component aims increase productivity incomes idip farmers strengthening capacity organize acquire effective technical knowledge sustainable agricultural production technologies efficient irrigation water management systems ii test purchaselease access machinery irrigation infrastructure maintenance onfarm services existing financial resources","SDG 2","SDG 2.a"
"4316","P086592","component include undertake social mobilization rccs raise awareness project engage detaileddesign stage elicit views rehabmodernization options strengthen cwrs rse stateowned kazvodkhoz kvk enterprise branches undertake mom main id system including interfarm canalsdrains return receiving isf rccs complements subsidies mom conduct comprehensive review existing legislation water resources id identify strengthened support development irrigated agriculture strengthen rccs gradually takeover mom respective onfarm possibly smallsize interfarm canalsdrains undertaking mom andor ii collecting administering isf revolving funds retained rcc outsource mom private contractors","SDG 13","SDG 13.3"
"4317","P086592","component support developing strengthening rccs watermanagement organizations wmos supporting establishment enabling training support units rural support units rsus ii supporting participatory irrigation development management pidm activities including related watersector studies access credit leasing resources iii enhancing mom activities including watermonitoring tools modernizing strengthening onfarm water management rcc level modernizing strengthening mom main irrigation drainage system","SDG 16","SDG 16.1"
"4318","P086592","component support strengthen farmers capacity improving farm management land ii supporting knowledge transfer innovative agrotechniques iii supporting agro cooperatives including establishing strengthening enabling farmers services centers fscs support farming irrigation mechanization developing watersaving techniques ii facilitating access maintenance equipment onfarm irrigation systems iii strengthening related advisory facilities","SDG 16","SDG 16.1"
"4319","P086592","component support rehabilitation modernization id infrastructure approximately ha","No map","No map.NA"
"4320","P086592","component address institutional technical financial environmental issues confronting id sector building institutional capacity enable mainsystem service provider rccs water users improve wateruse efficiency productivity","SDG 6","SDG 6.4"
"4321","P086592","corresponds combination trends observed field due insufficient water andor excess water schemes leading waterlogging secondary salinity decreased yields ii decreased land cultivation agricultural returns calculated multiplying spa crop withproject crop budgets arrive incremental benefits project activities costs benefits aggregated period calculate economic internal rate return eirr economic net enpv assuming percent discount rate","SDG 2","SDG 2.a"
"4322","P086592","exercise aims analyze financial net returns hectare","No map","No map.NA"
"4323","P086592","fs government formal expert reviews modifications","No map","No map.NA"
"4324","P086592","organized organization competent suitable staff lacks adequate equipment facilities carry tasks assigned","No map","No map.NA"
"4325","P086592","south kazakhstan kyzylorda wmos interviewed land command","SDG 17","SDG 17.6"
"4326","P086592","means idips target includes farm holdings directly involved foreseen capacitybuilding activities remaining farming families benefit anticipated training activities access fscs promoted project","SDG 6","SDG 6.a"
"4327","P086592","monitoring include regular analysis quantity quality irrigation water withdrawals drainage waters discharged analysis mineralization ph temperature turbidity initiated idip quality selected receiving waters analysis chemicals pesticides quality soils including salinity humus content content phosphorus potassium nitrogen groundwater levels mineralization","SDG 12","SDG 12.4"
"4328","P086592","option forwardlooking focuses charging collecting sufficient funds adequate om id system additional levy future capital replacement costs inter onfarm id systems system components reach life","SDG 16","SDG 16.10"
"4329","P086592","project appraisal document covers idip","No map","No map.NA"
"4330","P086592","projectspecific spadedicated agricultural development component included improved agricultural efficiency production deemed critical generation sufficient farmer revenues maintain adequate mom id systems upkeep rehabilitation","SDG 2","SDG 2.a"
"4331","P086592","report cover institutional technical financial aspects rccs including frequency efficacy meetings setting collection irrigation applicable drainage service fees cropping patterns crop yields water delivery annual water users survey","No map","No map.NA"
"4332","P086592","review aligned review water sector legislation outlined","SDG 6","SDG 6.b"
"4333","P086592","risk rating based experience past ongoing worldbankfinanced projects kazakhstan public procurement environment current capacity cwr handling procurement","SDG 17","SDG 17.17"
"4334","P086592","section discusses findings social assessment conducted project preparation project social implications outstanding issues potential social risks poverty kazakhstan","No map","No map.NA"
"4335","P086592","component aims form rcc sus establish viable sustainable rccs","SDG 12","SDG 12.8"
"4336","P086592","subcomponent seeks modernize strengthen main system service providers spas improve service water users","SDG 6","SDG 6.4"
"4337","P086592","subcomponent analyze existing onfarm practices representative sample spas recommendations improvement","No map","No map.NA"
"4338","P086592","subcomponent supported measures identified component agricultural development improvements water management practices farmers onfarm level","SDG 2","SDG 2.a"
"4339","P086592","subcomponent build strengthen existing capability haes strengthened continue project completion","No map","No map.NA"
"4340","P086592","subcomponent determine minimum levels expenditure required om adequate longterm id system performance","SDG 16","SDG 16.10"
"4341","P086592","subcomponent support operation rccs ensure rccs spas viable sustainable sound institutional financial technical basis","No map","No map.NA"
"4342","P086592","subcomponent supported measures identified improving farmers water management practices farm level component agricultural development","SDG 2","SDG 2.a"
"4343","P086592","subcomponent review activities main service providers provide recommendations upgrades modernization achieve service levels support implementation agreed ii determine minimum levels om expenditure required sustain id systems time consulting services operating costs civil","SDG 1","SDG 1.3"
"4344","P086592","subcomponent provide technical assistance training modernize strengthen onfarm water management rccwmo level","SDG 6","SDG 6.5"
"4345","P086592","subcomponent provide technical assistance training develop strengthen rural consumer cooperatives water management organizations supporting establishment enabling training support units rural support units rsus ii supporting pidm activities including related watersector studies access credit leasing resources iii enhancing mom activities including water monitoring","SDG 16","SDG 16.1"
"4346","P086592","subcomponent provide technical assistance training modernize strengthen mom main id systems","SDG 16","SDG 16.10"
"4347","P086592","substantive reinforced strengthened idip","No map","No map.NA"
"4348","P086592","support include oblastlevel meetings workshops rccs distribution print material soil water quality monitoring public outreach information activities","SDG 6","SDG 6.3"
"4349","P086592","training enable engineers carry provide machinery advisory demonstration evaluation activities functions modes ownership machinery operation established","No map","No map.NA"
"4350","P086592","deemed excessive project objective sustainable mom rehabilitation","SDG 12","SDG 12.8"
"4351","P086592","processes procedures modified refined improved implementation batch based experiences lessons learned implementation batch","No map","No map.NA"
"4352","P086592","achieved rehabilitation modernization id systems improved management operation maintenance mom systems efficient irrigated lands improved participation users developing managing rehabilitatedmodernized systems","SDG 15","SDG 15.3"
"4353","P086592","contribute raising local employment levels related processing manufacturing","SDG 16","SDG 16.1"
"4354","P086592","form capacity building undertaken idip essential form longterm sustainability interventions","SDG 12","SDG 12.8"
"4355","P086592","include series awarenesscreating workshops role participatory approaches survey design indicators monitor project performance report writing","SDG 17","SDG 17.19"
"4356","P086592","increase potential timely adequate water availability farmers improve water management levels ensure adequate drainage excess water control groundwater tables","SDG 6","SDG 6.b"
"4357","P086592","require liaising agencies involved project implementation","No map","No map.NA"
"4358","P086592","correspond percent withproject gross farm output percent withproject incremental farm revenue table","No map","No map.NA"
"4359","P086592","correspond percent withproject gross farm output","No map","No map.NA"
"4360","P086592","lead virtuous cycle improvements id service delivery crop production farmer income ability willingness pay","SDG 7","SDG 7.1"
"4361","P086592","consulting services equipment operating costs civil","No map","No map.NA"
"4362","P086592","activity farmers optimize farm machinery equipment selection availability understand machine ownership usage options including financing realistic pricing cost recovery farm machinery services","SDG 1","SDG 1.4"
"4363","P086592","component idip introduce international experience participatory irrigation development management pidm integrates top eligible expenditures components include nonconsultancy services","SDG 10","SDG 10.6"
"4364","P086592","proposed contingency rate percent base cost civil proposed idip reasonable","No map","No map.NA"
"4365","P086592","alongside conjunction component component aims ensure sustainability rehabilitated modernized id infrastructure reduce negative externalities water subsidies considered critical requirements","SDG 6","SDG 6.a"
"4366","P086592","eventually onfarm level id system government cwr branches provide technical backstopping rccs responsible mom","SDG 16","SDG 16.10"
"4367","P086592","parallel conjunction component component aims ensure sustainability rehabilitated modernized id infrastructure reduce negative externalities water subsidies critical requirements aforementioned government resolution law role rccs jerp findings","SDG 14","SDG 14.c"
"4368","P086592","management cwr knowledgeable banks processes procedures","No map","No map.NA"
"4369","P086592","address issue envisaged water users gradually responsible payment mom costs payment isfs collected rccs","SDG 6","SDG 6.4"
"4370","P086592","sustainable irrigation subsector sufficient funding infrastructure mom","SDG 12","SDG 12.8"
"4371","P086592","cover widely separated spas anticipated core team consultants based shymkent suboffices spa locations","No map","No map.NA"
"4372","P086592","cover widely separated spas anticipated consultants local offices oblast","No map","No map.NA"
"4373","P086592","ensure implementation environmental activities preventive actionsmitigation measures monitoring idip provide institutional strengthening cwr pmu established cwr support public outreach environmental management issues rccs rcc","SDG 17","SDG 17.17"
"4374","P086592","ensure water users willingness pay isfs key project activity participatory approach mobilize actively involve water users rccs decision related planning design implementation envisaged project activities including setting investment priorities","SDG 16","SDG 16.1"
"4375","P086592","mitigate risk experienced procurement specialist familiar world bank procurement procedures hired pmu procurement staff based country office provide advice assistance regular basis","No map","No map.NA"
"4376","P086592","extent feasible local moep staff project raions assist internationalnational consultants monitoring implementation mitigation plan","No map","No map.NA"
"4377","P086592","established semiautonomous bodies legal status management plan ensure financially selfsustainable combined government support feeforservice revenues farmers","No map","No map.NA"
"4378","P086592","tolebai kenenbayev title technical expert telephone email mailru synaspiumailru","No map","No map.NA"
"4379","P086592","total","No map","No map.NA"
"4380","P086592","total bank financing","No map","No map.NA"
"4381","P086592","total cofinancing financing gap","No map","No map.NA"
"4382","P086592","total rehabilitation cost estimates include civil physical contingency allowance percent sufficient account current lack detailed designs schemes consequent approximate nature quantity requirement estimates","No map","No map.NA"
"4383","P086592","train cwr unrealistic requirements staff preparing unambiguous technical delivery completion time specifications set mechanisms bidders unable meet obtaining technical experts relevant frequently qualifications preparation specifications","No map","No map.NA"
"4384","P086592","training capacity building staff key activities","SDG 17","SDG 17.19"
"4385","P086592","training study tours carried based annual trainingstudy tours plan prepared cwr prior reviewed agreed bank","No map","No map.NA"
"4386","P086592","training study tours","No map","No map.NA"
"4387","P086592","training procurement world bank guidelines provided bank staff project launch workshop","No map","No map.NA"
"4388","P086592","training modules include participatory training approaches techniques ii participatory research approaches techniques iii agricultural practices iv sustainable land water management practices experiences promotion farmers organizations vi potential synergies ongoing agricultural developmentrelated projects vii facilitating farmer access financial credit instruments","SDG 2","SDG 2.a"
"4389","P086592","training assessed programmed strong farmer participation training delivered onfarm farmer training workshops seminars specialized courses onsite demonstration research development activities study tours","SDG 9","SDG 9.5"
"4390","P086592","training program adjustments occur stages special courses targeted indepth specialized training topics converting organic farming international certification chain development agribusiness farmers organization farm management","SDG 4","SDG 4.5"
"4391","P086592","training address technical skills perform environmental oversight monitoring functions environmental specialist support environmental outreach activities rccs rcc raise awareness onsite compliance environmental requirements results water quality monitoring activities","SDG 6","SDG 6.3"
"4392","P086592","training aim improve spa farmer capacity access existing services facilities kai kaf kam relevant organizations","SDG 4","SDG 4.5"
"4393","P086592","training follow typical crop cycle pattern average months willset agenda identifying common","No map","No map.NA"
"4394","P086592","ttl ecsar aliya kim financial management analyst ecso anara akhmetova procurement assistant ecckz bakyt arystanov consultant ecsen danielle malek roosa senior counsel leges gulana enar hajiyeva senior environmental specialist ecsen hiromi yamaguchi consultant ecsar ian","No map","No map.NA"
"4395","P086592","pmuemployed specialists engineering institutional agricultural issueswill appointed project oblasts provide daytoday project coordination regular feedback pmu shymkent linking national teamsinstitutions established project component subproject","SDG 2","SDG 2.a"
"4396","P086592","sets crop budgets prepared spas project models consisting actual budgets based averages crop performances recorded respective spas mitigate risk excessive climatic influence specific project model consisting projected performances development completion rehabilitation benefits project interventions assumed materialized","SDG 13","SDG 13.2"
"4397","P086592","typical schemes consideration include collapsed damaged offtake incanal structures overgrown silted irrigation canals drainage channels damaged collapsed concrete canal lining damaged collapsed canalettes elevated parabolic flumes damaged inoperable vdws damaged missing inoperable control gates vandalized electrical systems major structures vdws control gates eroded upstream downstream protection aprons diversion weirs","SDG 2","SDG 2.5"
"4398","P086592","typically facilitators specialists offer technical expertise production techniques","No map","No map.NA"
"4399","P086592","ultimately intention fscs provide sustained demanddriven advisory support services","SDG 12","SDG 12.1"
"4400","P086592","component rehabilitation modernization id systems infrastructure handover batch completed planned commence project project evaluate impacts physical","No map","No map.NA"
"4401","P086592","component sustainable mom id systems carried project establishing institutional structures ii allotting project time embed support","SDG 16","SDG 16.10"
"4402","P086592","idip wrmlip capital cost repayment level set percent","No map","No map.NA"
"4403","P086592","idip wrmlip project teams formed supported wuas support project","No map","No map.NA"
"4404","P086592","idip approach yield desired results adjustment scope development cost estimates receive regular scrutiny project proceeds","SDG 12","SDG 12.1"
"4405","P086592","idip vdws handed water user mom","SDG 6","SDG 6.b"
"4406","P086592","idip sitespecific dam safety plans including safety assessments structures updated stock rehabilitation improvements completed date","No map","No map.NA"
"4407","P086592","pidm concept water users set fund future benefit penalty past failures poor id system maintenance fault","SDG 6","SDG 6.4"
"4408","P086592","project rcc development normalized","SDG 1","SDG 1.a"
"4409","P086592","project isf substantially increased time eventually cover om costs scheme","SDG 10","SDG 10.1"
"4410","P086592","subcomponent technical economic feasibility installation pressurized onfarm distribution systems idip spas assessed","SDG 16","SDG 16.10"
"4411","P086592","funding found rectify shortfall systems scheduled rehabilitation idip require rehabilitation","SDG 16","SDG 16.10"
"4412","P086592","receipt audit reports world bank publicly accordance banks access information policy","SDG 16","SDG 16.10"
"4413","P086592","fiscal january december abbreviations acronyms ac agricultural company kafim kazagro financeinnovationmarketing acp agricultural competitiveness project monitoring evaluation adb asian development bank moa ministry agriculture amc antimonopoly commission moep ministry environmental protection apc agricultural production cooperative mof ministry finance appap agricultural postprivatization mom management operation maintenance assistance project om operation maintenance bwa basin water administration osu oblast rcc support unit ca conservation agriculture pdo project development objective cse communal enterprise pefa public expenditure financial csu central rcc support unit accountability cwr committee water resources pidm participatory irrigation development ea environmental assessment management emp environmental management plan pmu project management unit eirr economic internal rate return pom project operational manual enpv economic net ppl public procurement law fm financial management rra rcc regulatory authority fmr financial management report research development fs feasibility study rcc rural consumer cooperative fsc farmers services center rsekvk republican enterprisekazvodkhoz gis geographical information system rsu raion rcc support unit gdp gross domestic product spa subproject hae hydrogeologic amelioration expedition su support unit id irrigation drainage synas syr darya control northern aral sea iarc international agricultural research sri systems rice intensification center tot trainingoftrainers ibrd international bank reconstruction vat added tax development vdw vertical drainage idip firstsecondthird irrigation wb world bank drainage improvement project wmo water management organization ipm integrated pest management wua water users association irrigation service fee wrmlip water msf resources management land improvement project regional vice president philippe","SDG 17","SDG 17.1"
"4414","P086592","million consultancy services training operating costs","No map","No map.NA"
"4415","P086592","national procurement moderate ensure proper packaging contracts low procedures ncb contracts fall icb contract sizes international competition participation contracts means award internationally reputed firms contracts domestic contractors suppliers environmental social management safeguard arrangements","No map","No map.NA"
"4416","P086592","variations oblast poverty rates largebetween percent","SDG 1","SDG 1.1"
"4417","P086592","vdws treated collectively components field function main drainage system benefiting farms farmers","SDG 16","SDG 16.10"
"4418","P086592","vdws control rccs wmos lessthanoptimum results operated meet farmers crop water maintain correct environmental balance water table depth salinity","SDG 6","SDG 6.5"
"4419","P086592","vertical drainage","No map","No map.NA"
"4420","P086592","water management organizations","SDG 6","SDG 6.b"
"4421","P086592","water measuring structures","SDG 6","SDG 6.b"
"4422","P086592","water user associations proved effective modernization programs user participation included step decision process","SDG 16","SDG 16.7"
"4423","P086592","water users spas pay equivalent kzt kzt hectare assuming average charged water users kyzylkum","SDG 6","SDG 6.5"
"4424","P086592","water users spas support","SDG 6","SDG 6.b"
"4425","P086592","water users pay portion capital costs rehabilitation collect isf covers annual mom costs surplus banked future infrastructure replacement costs option","SDG 6","SDG 6.a"
"4426","P086592","water users provided irrigation drainage indicator measures female water users provided services female irrigation drainage services project","SDG 17","SDG 17.19"
"4427","P086592","water users provided newimproved irrigation indicator measures water users provided irrigation drainage services drainage services project","SDG 17","SDG 17.19"
"4428","P086592","weaknesses action plan","No map","No map.NA"
"4429","P086592","wellestablished rccs supervise physical rehabilitation improve mom onfarm system","SDG 16","SDG 16.10"
"4430","P086592","wheat rice maize sugar beet remain subsidized prices governmentcontrolled extent","No map","No map.NA"
"4431","P086592","lands id infrastructures redistributed kolkhoz sovkhoz farms forms shareholders spontaneously form wmos","SDG 15","SDG 15.3"
"4432","P086592","rccs operational su staff produce om manuals generic locationspecific om procedures","No map","No map.NA"
"4433","P086592","surveys include household surveys interviews key stakeholders establish project impact","No map","No map.NA"
"4434","P086592","apparent additional measures required minimize potential negative impacts environmental specialist advice moep staff recommend measures pmu internationalnational consultants oversee implementation ecological monitoring plan framework emp ensuring monitoring assigned cwr hydrogeological expeditions performed effectively information shared promptly project cwr officials internationalnational consultants directly manage institutional strengthening activities recommended framework emp including scheduling training overseeing purchase equipment managing efforts raise rcc awareness","No map","No map.NA"
"4435","P086592","dams national borders close liaison occur kyrgyzstan dams located facilitated similar programsprojects kyrgyzstan","No map","No map.NA"
"4436","P086592","regard concern legislation fails separate rcc governance management functions","No map","No map.NA"
"4437","P086592","scheme investment operations maintenance costs recovered howfor costs upstream financed government downstream tertiary quaternary level irrigators cost sharing secondary canal level","SDG 17","SDG 17.5"
"4438","P086592","womens involvement project monitored supplementary indicator pdo core indicators direct beneficiaries received farmer training","SDG 5","SDG 5.5"
"4439","P086592","positive implementing agency pmu aspects identified substantial risks poor public sector functioning lessthanfullysatisfactory capacity fm deficiencies public procurement processes","SDG 17","SDG 17.17"
"4440","P086592","construction andmanagement capacity building","SDG 17","SDG 17.19"
"4441","P086592","design andinstitutionaliagricultural support setup","No map","No map.NA"
"4442","P086592","procured project include rehabilitation modernization id infrastructure","No map","No map.NA"
"4443","P086592","workshop proceedings management tool verify performance assess farmer responsiveness baseline impact evaluation","No map","No map.NA"
"4444","P086592","physical cultural resources opbp","No map","No map.NA"
"4445","P086592","involuntary resettlement opbp","No map","No map.NA"
"4446","P086592","legal covenants recurrent due date frequency description covenant conditions type article iv operational manual update pmu establishment effectiveness description condition operational manual adopted borrower manner satisfactory bank pmu established borrower cwr composition resources terms reference satisfactory bank including selection financial management specialist disbursement specialist","No map","No map.NA"
"4447","P086592","physical cultural resources opbp","No map","No map.NA"
"4448","P086592","yields vary scheme","No map","No map.NA"
"4449","P088799","million total project cost","No map","No map.NA"
"4450","P088799","indigenous peoples","SDG 10","SDG 10.7"
"4451","P088799","million total project cost","No map","No map.NA"
