"Project","Text","Target"
"100000","the economic activities in this category could be associated with several nace codes in particular c c c in accordance with the statistical classification of economic activities established by regulation ec no","Climate mitigation"
"100000","the economic activities in this category could be associated with several nace codes in particular c c c in accordance with the statistical classification of economic activities established by regulation ec no","Climate mitigation"
"100000","the economic activities in this category could be associated with several nace codes in particular c","Climate mitigation"
"100000","manufacture of respective components battery active materials battery cells casings and electronic components","Climate mitigation"
"100000","the economic activities in this category could be associated with several nace codes in particular c","Climate mitigation"
"100000","the economic activities in this category could be associated with nace code c","Climate mitigation"
"100000","the economic activities in this category could be associated with nace code c","Climate mitigation"
"100000","the economic activities in this category could be associated with several nace codes in particular c","Climate mitigation"
"100000","the economic activities in this category could be associated with nace code c","Climate mitigation"
"100000","the economic activities in this category could be associated with nace code c","Climate mitigation"
"100000","the economic activities in this category could be associated with nace code c","Climate mitigation"
"100000","the economic activities in this category could be associated with nace code c","Climate mitigation"
"100000","aromatics mixed alkylbenzenes mixed alkylnaphthalenes other than hs or cyclohexanebenzenetolueneoxylenepxylenemxylene and mixed xylene isomersethylbenzenecumenebiphenyl terphenyls vinyltoluenes other cyclic hydrocarbons excluding cyclanes cyclenes cycloterpenes benzene toluene xylenes styrene ethylbenzene cumene naphthalene anthracenebenzol benzene toluol toluene and xylol xylenesnaphthalene and other aromatic hydrocarbon mixtures excluding benzole toluole xylole","Climate mitigation"
"100000","the economic activities in this category could be associated with nace code c","Climate mitigation"
"100000","the economic activities in this category could be associated with nace code c","Climate mitigation"
"100000","the economic activities in this category could be associated with nace code c","Climate mitigation"
"100000","where an economic activity is an integral element of the installation maintenance and repair of renewable energy technologies as referred to in section","Climate mitigation"
"100000","the economic activities in this category could be associated with several nace codes in particular d","Climate mitigation"
"100000","where an economic activity is an integral element of the installation maintenance and repair of renewable energy technologies as referred to in section","Climate mitigation"
"100000","the economic activities in this category could be associated with several nace codes in particular d","Climate mitigation"
"100000","the economic activities in this category could be associated with several nace codes in particular d","Climate mitigation"
"100000","the economic activities in this category could be associated with several nace codes in particular d","Climate mitigation"
"100000","this activity does not include electricity generation from the exclusive use of biogas and bioliquid fuels see section","Climate mitigation"
"100000","construction and operation of distribution systems that transport electricity on highvoltage mediumvoltage and lowvoltage distribution systems","Climate mitigation"
"100000","the activity includes pumped hydropower storage","Climate mitigation"
"100000","where an economic activity is an integral element of the installation maintenance and repair of renewable energy technologies as referred to in section","Climate mitigation"
"100000","the economic activities in this category have no dedicated nace code in accordance with the statistical classification of economic activities established by regulation ec no","Climate mitigation"
"100000","the economic activities in this category could be associated with nace code d","Climate mitigation"
"100000","construction or operation of transmission and distribution pipelines dedicated to the transport of hydrogen or other lowcarbon gases","Climate mitigation"
"100000","the economic activities in this category could be associated with nace code d","Climate mitigation"
"100000","where an economic activity is an integral element of installation maintenance and repair of renewable energy technologies as referred to in section","Climate mitigation"
"100000","the economic activities in this category could be associated with several nace codes in particular d","Climate mitigation"
"100000","the economic activities in this category could be associated with several nace codes in particular d","Climate mitigation"
"100000","this activity does not include cogeneration of heatcool and power from the exclusive use of biogas and bioliquid fuels see section","Climate mitigation"
"100000","where an economic activity is an integral element of the installation maintenance and repair of renewable energy technologies as referred to in section","Climate mitigation"
"100000","the economic activities in this category could be associated with nace code d","Climate mitigation"
"100000","this activity does not include production of heatcool from the exclusive use of biogas and bioliquid fuels see section","Climate mitigation"
"100000","the economic activities in this category could be associated with nace code d","Climate mitigation"
"100000","the activity is classified under nace code m and m","Climate mitigation"
"100000","the activity is classified under nace codes d","Climate mitigation"
"100000","the activity is classified under nace codes d","Climate mitigation"
"100000","this activity does not include electricity generation from the exclusive use of renewable nonfossil gaseous and liquid fuels as referred to in section","Climate mitigation"
"100000","this activity does not include highefficiency cogeneration of heatcool and power from the exclusive use of renewable nonfossil gaseous and liquid fuels referred to in section","Climate mitigation"
"100000","this activity does not include production of heatcool in an efficient district heating from the exclusive use of renewable nonfossil gaseous and liquid fuels referred to in section","Climate mitigation"
"100000","the economic activities in this category could be associated with several nace codes in particular e","Climate mitigation"
"100000","it implies no material changes to the volume of flow collected treated or supplied","Climate mitigation"
"100000","the economic activities in this category could be associated with several nace codes in particular e","Climate mitigation"
"100000","it implies no material change related to the load or volume of flow collected or treated in the waste water system","Climate mitigation"
"100000","the economic activities in this category could be associated with nace code e","Climate mitigation"
"100000","the economic activities in this category could be associated with several nace codes in particular e","Climate mitigation"
"100000","the economic activities in this category could be associated with several nace codes in particular e","Climate mitigation"
"100000","the economic activities in this category could be associated with several nace codes in particular e","Climate mitigation"
"100000","the economic activities in this category could be associated with several nace codes in particular e","Climate mitigation"
"100000","the economic activities in this category could be associated with nace code e","Climate mitigation"
"100000","construction and operation of co pipelines and retrofit of gas networks where the main purpose is the integration of captured co","Climate mitigation"
"100000","the economic activities in this category could be associated with nace code e","Climate mitigation"
"100000","the economic activities in this category could be associated with several nace codes in particular h","Climate mitigation"
"100000","the economic activities in this category could be associated with several nace codes in particular h","Climate mitigation"
"100000","for motor vehicles operation of vehicles designated as category m or m in accordance with article of regulation eu for the provision of passenger transport","Climate mitigation"
"100000","this includes the provision of freight transport services by cargo bicycles","Climate mitigation"
"100000","the economic activities in this category could be associated with several nace codes in particular h","Climate mitigation"
"100000","the economic activities in this category could be associated with several nace codes in particular h","Climate mitigation"
"100000","the economic activities in this category could be associated with nace code h","Climate mitigation"
"100000","the economic activities in this category could be associated with several nace code h","Climate mitigation"
"100000","the economic activities in this category could be associated several nace codes in particular h","Climate mitigation"
"100000","purchase financing renting and operation of vessels required for port operations and auxiliary activities such as tugboats mooring vessels pilot vessels salvage vessels and icebreakers","Climate mitigation"
"100000","the economic activities in this category include operation of ferries water taxies and excursions cruise or sightseeing boats","Climate mitigation"
"100000","the economic activities in this category could be associated with nace codes h","Climate mitigation"
"100000","the economic activities in this category could be associated with several nace codes in particular f","Climate mitigation"
"100000","the economic activities in this category could be associated with several nace codes in particular f","Climate mitigation"
"100000","the economic activities in this category could be associated with several nace codes in particular f","Climate mitigation"
"100000","the economic activities in this category could be associated with several nace codes in particular f","Climate mitigation"
"100000","the economic activities in this category could be associated with several nace codes in particular f","Climate mitigation"
"100000","the economic activities in this category could be associated with several nace codes in particular f","Climate mitigation"
"100000","the economic activities in this category could be associated with several nace codes in particular f and f in accordance with the statistical classification of economic activities established by regulation ec no","Climate mitigation"
"100000","the economic activities in this category could be associated with several nace codes in particular f f m c c c c c c c s","Climate mitigation"
"100000","the economic activities in this category could be associated with several nace codes in particular f f m c c c c c c or c in accordance with the statistical classification of economic activities established by regulation ec no","Climate mitigation"
"100000","the economic activities in this category could be associated with several nace codes in particular f f m c c c c c c or c in accordance with the statistical classification of economic activities established by regulation ec no","Climate mitigation"
"100000","the economic activities in this category could be associated with nace code l in accordance with the statistical classification of economic activities established by regulation ec no","Climate mitigation"
"100000","the economic activities in this category could be associated with nace code j","Climate mitigation"
"100000","such ict solutions may include inter alia the use of decentralized technologies i","Climate mitigation"
"100000","the economic activities in this category could be associated with several nace codes in particular m","Climate mitigation"
"100000","the economic activities in this category could be associated with several nace codes in particular m","Climate mitigation"
"100000","the economic activities in this category could be associated with nace code m in accordance with the statistical classification of economic activities established by regulation ec no","Climate mitigation"
"100000","afforestation implies a transformation of land use from nonforest to forest in accordance with the food and agriculture organisation of the united nations fao definition of afforestation where forest means a land matching the forest definition as set out in national law or where not available is in accordance with the fao definition of forest","Climate adaptation"
"100000","where national law does not contain such a definition rehabilitation and restoration refers to a definition with broad agreement in the peerreviewed scientific literature for specific countries or a definition in line with the fao concept of forest restoration or a definition in line with one of the definitions of ecological restoration applied to forest or forest rehabilitation under the convention on biological diversity","Climate adaptation"
"100000","where national law does not contain such a definition forest management refers to any economic activity resulting from a system applicable to a forest that influences the ecological economic or social functions of the forest","Climate adaptation"
"100000","conservation forestry assumes no change in land category and occurs on land matching the forest definition as set out in national law or where not available in accordance with the fao definition of forest","Climate adaptation"
"100000","the concerned area matches the union definition of wetlands as provided in the commission communication on the wise use and conservation of wetlands","Climate adaptation"
"100000","the economic activities in this category could be associated with several nace codes in particular c c c in accordance with the statistical classification of economic activities established by regulation ec no","Climate adaptation"
"100000","resulting in lifecycle ghg emissions lower than tcoeth and of for hydrogenbased synthetic fuels relative to a fossil fuel comparator of g coemj in analogy to the approach set out in article of and annex v to directive eu of the european parliament and of the council","Climate adaptation"
"100000","recycling of endoflife batteries","Climate adaptation"
"100000","of this annexfaade and roofing elements with a solar shading or solar control function including those that support the growing of vegetationenergyefficient building automation and control systems for residential and nonresidential buildingszoned thermostats and devices for the smart monitoring of the main electricity loads or heat loads for buildings and sensoring equipmentproducts for heat metering and thermostatic controls for individual homes connected to district heating systems for individual flats connected to central heating systems serving a whole building and for central heating systemsdistrict heating exchangers and substations compliant with the district heatingcooling distribution activity set out in section","Climate adaptation"
"100000","the economic activities in this category could be associated with nace code c","Climate adaptation"
"100000","the economic activities in this category could be associated with nace code c","Climate adaptation"
"100000","the economic activities in this category could be associated with several nace codes in particular c","Climate adaptation"
"100000","the economic activities in this category could be associated with nace code c","Climate adaptation"
"100000","the economic activities in this category could be associated with nace code c","Climate adaptation"
"100000","the economic activities in this category could be associated with nace code c","Climate adaptation"
"100000","the economic activities in this category could be associated with nace code c","Climate adaptation"
"100000","aromatics mixed alkylbenzenes mixed alkylnaphthalenes other than hs or cyclohexanebenzenetolueneoxylenepxylenemxylene and mixed xylene isomersethylbenzenecumenebiphenyl terphenyls vinyltoluenes other cyclic hydrocarbons excluding cyclanes cyclenes cycloterpenes benzene toluene xylenes styrene ethylbenzene cumene naphthalene anthracenebenzol benzene toluol toluene and xylol xylenesnaphthalene and other aromatic hydrocarbon mixtures excluding benzole toluole xylole","Climate adaptation"
"100000","the economic activities in this category could be associated with nace code c","Climate adaptation"
"100000","the economic activities in this category could be associated with nace code c","Climate adaptation"
"100000","the economic activities in this category could be associated with nace code c","Climate adaptation"
"100000","where an economic activity is an integral element of the installation maintenance and repair of renewable energy technologies as referred to in section","Climate adaptation"
"100000","the economic activities in this category could be associated with several nace codes in particular d","Climate adaptation"
"100000","where an economic activity is an integral element of the installation maintenance and repair of renewable energy technologies as referred to in section","Climate adaptation"
"100000","the economic activities in this category could be associated with several nace codes in particular d","Climate adaptation"
"100000","the economic activities in this category could be associated with several nace codes in particular d","Climate adaptation"
"100000","the economic activities in this category could be associated with several nace codes in particular d","Climate adaptation"
"100000","this activity does not include electricity generation from the exclusive use of biogas and bioliquid fuels see section","Climate adaptation"
"100000","construction and operation of distribution systems that transport electricity on highvoltage mediumvoltage and lowvoltage distribution systems","Climate adaptation"
"100000","the activity includes pumped hydropower storage","Climate adaptation"
"100000","where an economic activity is an integral element of the installation maintenance and repair of renewable energy technologies as referred to in section","Climate adaptation"
"100000","the economic activities in this category have no dedicated nace code in accordance with the statistical classification of economic activities established by regulation ec no","Climate adaptation"
"100000","the economic activities in this category could be associated with nace code d","Climate adaptation"
"100000","construction or operation of transmission and distribution pipelines dedicated to the transport of hydrogen and other lowcarbon gases","Climate adaptation"
"100000","the economic activities in this category could be associated with nace code d","Climate adaptation"
"100000","where an economic activity is an integral element of the installation maintenance and repair of renewable energy technologies as referred to in section","Climate adaptation"
"100000","the economic activities in this category could be associated with several nace codes in particular d","Climate adaptation"
"100000","the economic activities in this category could be associated with several nace codes in particular d","Climate adaptation"
"100000","this activity does not include cogeneration of heatcool and power from the exclusive use of biogas and bioliquid fuels see section","Climate adaptation"
"100000","where an economic activity is an integral element of the installation maintenance and repair of renewable energy technologies as referred to in section","Climate adaptation"
"100000","the economic activities in this category could be associated with nace code d","Climate adaptation"
"100000","this activity does not include production of heatcool from the exclusive use of biogas and bioliquid fuels see section","Climate adaptation"
"100000","the economic activities in this category could be associated with nace code d","Climate adaptation"
"100000","the activity is classified under nace code m and m","Climate adaptation"
"100000","the activity is classified under nace codes d","Climate adaptation"
"100000","the activity is classified under nace codes d","Climate adaptation"
"100000","the economic activities in this category could be associated with several nace codes in particular e","Climate adaptation"
"100000","it implies no material changes to the volume of flow collected treated or supplied","Climate adaptation"
"100000","the economic activities in this category could be associated with several nace codes in particular e","Climate adaptation"
"100000","it implies no material change related to the load or volume of flow collected or treated in the waste water system","Climate adaptation"
"100000","the economic activities in this category could be associated with nace code e","Climate adaptation"
"100000","the economic activities in this category could be associated with several nace codes in particular e","Climate adaptation"
"100000","the economic activities in this category could be associated with several nace codes in particular e","Climate adaptation"
"100000","the economic activities in this category could be associated with several nace codes in particular e","Climate adaptation"
"100000","the economic activities in this category could be associated with several nace codes in particular e","Climate adaptation"
"100000","the economic activities in this category could be associated with nace code e","Climate adaptation"
"100000","of the mass of co transportedthe co is delivered to a permanent co storage site that meets the criteria for underground geological storage of co set out in section","Climate adaptation"
"100000","the economic activities in this category could be associated with nace code e","Climate adaptation"
"100000","the economic activities in this category could be associated with several nace codes in particular h","Climate adaptation"
"100000","the economic activities in this category could be associated with several nace codes in particular h","Climate adaptation"
"100000","for motor vehicles it includes operation of vehicles designated as category m or m in accordance with article of regulation eu for the provision of passenger transport","Climate adaptation"
"100000","this includes the provision of freight transport services by cargo bicycles","Climate adaptation"
"100000","the economic activities in this category could be associated with several nace codes in particular h","Climate adaptation"
"100000","the economic activities in this category could be associated with several nace codes in particular h","Climate adaptation"
"100000","the economic activities in this category could be associated with several nace codes in particular h","Climate adaptation"
"100000","the economic activities in this category could be associated with several nace codes in particular h","Climate adaptation"
"100000","the economic activities in this category could be associated with several nace codes in particular h","Climate adaptation"
"100000","purchase financing renting and operation of vessels required for port operations and auxiliary activities such as tugboats mooring vessels pilot vessels salvage vessels and icebreakers","Climate adaptation"
"100000","the economic activities in this category include operation of ferries water taxies and excursions cruise or sightseeing boats","Climate adaptation"
"100000","the economic activities in this category could be associated with nace codes h","Climate adaptation"
"100000","the economic activities in this category could be associated with several nace codes in particular f","Climate adaptation"
"100000","the economic activities in this category could be associated with several nace codes in particular f","Climate adaptation"
"100000","the economic activities in this category could be associated with several nace codes in particular f","Climate adaptation"
"100000","the economic activities in this category could be associated with several nace codes in particular f and f in accordance with the statistical classification of economic activities established by regulation ec no","Climate adaptation"
"100000","the economic activities in this category consist in one of the following individual measures provided that they comply with minimum requirements set for individual components and systems in the applicable national measures implementing directive eu and where applicable are rated in the highest two populated classes of energy efficiency in accordance with regulation eu and delegated acts adopted under that regulation addition of insulation to existing envelope components such as external walls including green walls roofs including green roofs lofts basements and ground floors including measures to ensure airtightness measures to reduce the effects of thermal bridges and scaffolding and products for the application of the insulation to the building envelope including mechanical fixings and adhesivereplacement of existing windows with new energy efficient windows replacement of existing external doors with new energy efficient doors installation and replacement of energy efficient light sourcesinstallation replacement maintenance and repair of heating ventilation and airconditioning hvac and water heating systems including equipment related to district heating services with highly efficient technologiesinstallation of low water and energy using kitchen and sanitary water fittings which comply with technical specifications set out in appendix a to annex i to this regulation and in case of shower solutions mixer showers shower outlets and taps have a max water flow of lmin or less attested by an existing label in the union market","Climate adaptation"
"100000","the economic activities in this category could be associated with several nace codes in particular f f m c c c c c c or c in accordance with the statistical classification of economic activities established by regulation ec no","Climate adaptation"
"100000","the economic activities in this category could be associated with several nace codes in particular f f m and c c c c c c c in accordance with the statistical classification of economic activities established by regulation ec no","Climate adaptation"
"100000","the economic activities in this category could be associated with several nace codes in particular f f m c c c c c c or c in accordance with the statistical classification of economic activities established by regulation ec no","Climate adaptation"
"100000","the economic activities in this category could be associated with nace code l in accordance with the statistical classification of economic activities established by regulation ec no","Climate adaptation"
"100000","the economic activities in this category could be associated with nace code j","Climate adaptation"
"100000","the economic activities in this category could be associated with nace code m or for research that is an integral part of those economic activities for which technical screening criteria are specified in this annex the nace codes set out in other sections of this annex in accordance with the statistical classification of economic activities established by regulation ec no","Climate adaptation"
"100000","the economic activities in this category could be classified under several nace codes in particular f","Climate adaptation"
"100000","the economic activities in this category exclude dredging of waterways","Climate adaptation"
"100000","the economic activities in this category could be classified under several nace codes in particular f","Climate adaptation"
"100000","the economic activities in this category could be associated with nace code j in accordance with the statistical classification of economic activities established by regulation ec no","Climate adaptation"
"100000","the broadcasting can be performed using different technologies overtheair via satellite via a cable network or via internet","Climate adaptation"
"100000","the economic activities in this category could be associated with nace code m","Climate adaptation"
"100000","the economic activities in this category could be associated with nace code k","Climate adaptation"
"100000","the coverage is set out in an agreement between insurer and reinsurer specifying the insurers products underlying product from which the ceded risks originate","Climate adaptation"
"100000","the instructions may be oral or written and may be provided by radio television internet or via correspondence","Climate adaptation"
"100000","facilities are a significant part of the production process and the care provided is a mix of health and social services with the health services being largely some level of nursing services","Climate adaptation"
"100000","this includes the production and promotion of and participation in live performances events or exhibits intended for public viewing and the provision of artistic creative or technical skills for the production of artistic products and live performances","Climate adaptation"
"100000","these activities also include the preservation and exhibition of objects sites and natural wonders of historical cultural or educational interest including world heritage sites","Climate adaptation"
"100000","buying and selling of motion picture or other film productions distribution rights is also included","Climate adaptation"
"100000","afforestation may cover past afforestation as long as it takes place in the period between the planting of the trees and the time when the land use is recognised as a forest","Climate mitigation"
"100000","the economic activities in this category also include forest activities in line with the fao definition of reforestation and naturally regenerating forest after an extreme event where extreme event is defined by national law and where national law does not contain such a definition is in line with the ipcc definition of extreme weather event or after a wildfire where wildfire is defined by national law and where national law does not contain such a definition as defined in the european glossary for wildfires and forest fires","Climate mitigation"
"100000","forest management assumes no change in land use and occurs on land matching the definition of forest as set out in national law or where not available in accordance with the fao definition of forest","Climate mitigation"
"100000","the economic activities in this category could be associated with nace code a in accordance with the statistical classification of economic activities established by regulation ec no","Climate mitigation"
"100000","the economic activities in this category have no dedicated nace code as referred to in the statistical classification of economic activities established by regulation ec no but relate to class of the statistical classification of environmental protection activities cepa established by regulation eu no of the european parliament and of the council","Climate mitigation"
"100000","recycling of endoflife batteries","Climate mitigation"
"100000","in accordance with the statistical classification of economic activities established by regulation ec no","Climate mitigation"
"100000","in accordance with the statistical classification of economic activities established by regulation ec no","Climate mitigation"
"100000","in accordance with the statistical classification of economic activities established by regulation ec no","Climate mitigation"
"100000","in accordance with the statistical classification of economic activities established by regulation ec no","Climate mitigation"
"100000","in accordance with the statistical classification of economic activities established by regulation ec no","Climate mitigation"
"100000","vinyl chloridestyreneethylene oxidemonoethylene glycoladipic acid","Climate mitigation"
"100000","in accordance with the statistical classification of economic activities established by regulation ec no","Climate mitigation"
"100000","in accordance with the statistical classification of economic activities established by regulation ec no","Climate mitigation"
"100000","in accordance with the statistical classification of economic activities established by regulation ec no","Climate mitigation"
"100000","of this annex the technical screening criteria specified in section","Climate mitigation"
"100000","of this annex the technical screening criteria specified in section","Climate mitigation"
"100000","the economic activities in this category could be associated with nace code d","Climate mitigation"
"100000","the economic activities in this category could be associated with several nace codes in particular d","Climate mitigation"
"100000","where an economic activity is an integral element of the installation maintenance and repair of renewable energy technologies as referred to in section","Climate mitigation"
"100000","of this annex the technical screening criteria specified in section","Climate mitigation"
"100000","in accordance with the statistical classification of economic activities established by regulation ec no","Climate mitigation"
"100000","the economic activities in this category could be associated with several nace codes in particular d","Climate mitigation"
"100000","in accordance with the statistical classification of economic activities established by regulation ec no","Climate mitigation"
"100000","of this annex the technical screening criteria specified in section","Climate mitigation"
"100000","of this annexthe economic activities in this category could be associated with several nace codes in particular d","Climate mitigation"
"100000","the economic activities in this category could be associated with several nace codes in particular d","Climate mitigation"
"100000","of this annex the technical screening criteria specified in section","Climate mitigation"
"100000","in accordance with the statistical classification of economic activities established by regulation ec no","Climate mitigation"
"100000","the economic activities in this category could be associated with nace code d","Climate mitigation"
"100000","in accordance with the statistical classification of economic activities established by regulation ec no","Climate mitigation"
"100000","in accordance with the statistical classification of economic activities established by regulation ec no","Climate mitigation"
"100000","of this annex and biogas and bioliquid fuels as referred to in section","Climate mitigation"
"100000","of this annex and biogas and bioliquid fuels referred to in section","Climate mitigation"
"100000","of this annex and biogas and bioliquid fuels referred to in section","Climate mitigation"
"100000","the economic activities in this category could be associated with several nace codes in particular e","Climate mitigation"
"100000","the economic activities in this category could be associated with nace codes e","Climate mitigation"
"100000","in accordance with the statistical classification of economic activities established by regulation ec no","Climate mitigation"
"100000","in accordance with the statistical classification of economic activities established by regulation ec no","Climate mitigation"
"100000","the economic activities in this category could be associated with several nace codes in particular f","Climate mitigation"
"100000","in accordance with the statistical classification of economic activities established by regulation ec no","Climate mitigation"
"100000","the economic activities in this category may include operation of different modes of land transport such as by motor bus tram streetcar trolley bus underground and elevated railways","Climate mitigation"
"100000","the economic activities in this category could be associated with several nace codes in particular n","Climate mitigation"
"100000","in accordance with the statistical classification of economic activities established by regulation ec no","Climate mitigation"
"100000","in accordance with the statistical classification of economic activities established by regulation ec no","Climate mitigation"
"100000","the economic activities in this category could be associated with several nace codes in particular h","Climate mitigation"
"100000","the activity could be associated with several nace codes in particular h","Climate mitigation"
"100000","in accordance with the statistical classification of economic activities established by regulation ec no","Climate mitigation"
"100000","afforestation may cover past afforestation as long as it takes place in the period between the planting of the trees and the time when the land use is recognised as a forest","Climate adaptation"
"100000","the economic activities also include forest activities in line with the fao definition of reforestation and naturally regenerating forest after an extreme event where extreme event is defined by national law and where national law does not contain such a definition is in line with the ipcc definition of extreme weather event or after a wildfire where wildfire is defined by national law and where national law does not contain such a definition as defined in the european glossary for wildfires and forest fires","Climate adaptation"
"100000","forest management assumes no change in land use and occurs on land matching the definition of forest as set out in national law or where not available in accordance with the fao definition of forest","Climate adaptation"
"100000","the economic activities in this category could be associated with nace code a in accordance with the statistical classification of economic activities established by regulation ec no","Climate adaptation"
"100000","the economic activities in this category have no dedicated nace code as referred to in the statistical classification of economic activities established by regulation ec no but relate to class of the statistical classification of environmental protection activities cepa established by regulation eu no","Climate adaptation"
"100000","the economic activities in this category could be associated with several nace codes in particular c c c in accordance with the statistical classification of economic activities established by regulation ec no","Climate adaptation"
"100000","both with the requirements of regulation ec no and from the time of the entry into force of amendments to that regulation in those amending acts even before they become applicable and with the latest step of the euro vi standard set out in table of appendix to annex i to regulation eu no where the provisions governing that step have entered into force but have not yet become applicable for this type of vehicle","Climate adaptation"
"100000","the economic activities in this category could be associated with nace c","Climate adaptation"
"100000","of this annexproducts for smart monitoring and regulating of heating system and sensoring equipment","Climate adaptation"
"100000","of this annex and where those technologies demonstrate substantial lifecycle ghg emission savings compared to the best performing alternative technology product or solution available on the market calculated using commission recommendation eu or iso or iso and where the quantified lifecycle ghg emission savings are verified by an independent third party","Climate adaptation"
"100000","in accordance with the statistical classification of economic activities established by regulation ec no","Climate adaptation"
"100000","in accordance with the statistical classification of economic activities established by regulation ec no","Climate adaptation"
"100000","in accordance with the statistical classification of economic activities established by regulation ec no","Climate adaptation"
"100000","in accordance with the statistical classification of economic activities established by regulation ec no","Climate adaptation"
"100000","in accordance with the statistical classification of economic activities established by regulation ec no","Climate adaptation"
"100000","vinyl chloridestyreneethylene oxidemonoethylene glycoladipic acid","Climate adaptation"
"100000","in accordance with the statistical classification of economic activities established by regulation ec no","Climate adaptation"
"100000","in accordance with the statistical classification of economic activities established by regulation ec no","Climate adaptation"
"100000","in accordance with the statistical classification of economic activities established by regulation ec no","Climate adaptation"
"100000","of this annex the technical screening criteria specified in section","Climate adaptation"
"100000","of this annex the technical screening criteria specified in section","Climate adaptation"
"100000","the economic activities in this category could be associated with nace code d","Climate adaptation"
"100000","the economic activities in this category could be associated with several nace codes in particular d","Climate adaptation"
"100000","where an economic activity is an integral element of the installation maintenance and repair of renewable energy technologies as referred to in section","Climate adaptation"
"100000","of this annex the technical screening criteria specified in section","Climate adaptation"
"100000","in accordance with the statistical classification of economic activities established by regulation ec no","Climate adaptation"
"100000","the economic activities in this category could be associated with several nace codes in particular d","Climate adaptation"
"100000","in accordance with the statistical classification of economic activities established by regulation ec no","Climate adaptation"
"100000","of this annex the technical screening criteria specified in section","Climate adaptation"
"100000","the economic activities in this category could be associated with several nace codes in particular d","Climate adaptation"
"100000","of this annex the technical screening criteria specified in section","Climate adaptation"
"100000","in accordance with the statistical classification of economic activities established by regulation ec no","Climate adaptation"
"100000","the economic activities in this category could be associated with nace code d","Climate adaptation"
"100000","in accordance with the statistical classification of economic activities established by regulation ec no","Climate adaptation"
"100000","in accordance with the statistical classification of economic activities established by regulation ec no","Climate adaptation"
"100000","this activity does not include electricity generation from the exclusive use of renewable nonfossil gaseous and liquid fuels referred to in section","Climate adaptation"
"100000","this activity does not include highefficiency cogeneration of heatcool and power from the exclusive use of renewable nonfossil gaseous and liquid fuels referred to in section","Climate adaptation"
"100000","this activity does not include production of heatcool from in an efficient district heating from the exclusive use of renewable nonfossil gaseous and liquid fuels referred to in section","Climate adaptation"
"100000","the economic activities in this category could be associated with several nace codes in particular e","Climate adaptation"
"100000","the economic activities in this category could be associated with nace code e","Climate adaptation"
"100000","in accordance with the statistical classification of economic activities established by regulation ec no","Climate adaptation"
"100000","in accordance with the statistical classification of economic activities established by regulation ec no","Climate adaptation"
"100000","of this annex or to other transport modalities which lead to permanent co storage site that meet those criteriaappropriate leak detection systems are applied and a monitoring plan is in place with the report verified by an independent third partythe activity may include the installation of assets that increase the flexibility and improve the management of an existing network","Climate adaptation"
"100000","in accordance with the statistical classification of economic activities established by regulation ec no","Climate adaptation"
"100000","the economic activities in this category may include operation of different modes of land transport such as by motor bus tram streetcar trolley bus underground and elevated railways","Climate adaptation"
"100000","the economic activities in this category could be associated with several nace codes in particular n","Climate adaptation"
"100000","in accordance with the statistical classification of economic activities established by regulation ec no","Climate adaptation"
"100000","in accordance with the statistical classification of economic activities established by regulation ec no","Climate adaptation"
